Asset,Daily Std,VaR_10d_99pct_2bn
ADBE,0.021394253501297547,315270295.74859685
AGG,0.0022036600117338566,32473605.287819613
AMAT,0.028739757647352322,423515216.0216403
AMD,0.03568923854005507,525924252.9253461
AMGN,0.017542206607987585,258505708.78987727
AMZN,0.014793712297228073,218003308.7335288
BKNG,0.02327899262691888,343044214.6426377
BKR,0.016656826268220057,245458554.72340927
BMY,0.0195271331682874,287756011.15107036
BND,0.0020758549288145602,30590242.24887569
CDNS,0.018710506035252605,275722019.0450783
CDW,0.012347972582051529,181962365.1558044
CL,0.014138868453567328,208353389.7846134
COST,0.012509733414939713,184346107.389302
CRM,0.022028074051546415,324610410.9489884
DUK,0.009674547108370282,142566195.53959408
EA,0.0018260356749726237,26908852.2888257
ED,0.009945080589310542,146552834.78086323
GIS,0.012067062292739829,177822811.04681188
GOOG,0.024072350387687184,354735304.3016763
HSY,0.010093564126214122,148740919.94076613
IBM,0.012153518638769492,179096850.25460485
JNJ,0.006842064619719475,100826127.72907186
K,0.0010534059017869286,15523214.68844614
LINT,0.09825566113893848,1447916439.0740864
LQD,0.0030299567060147773,44650090.11661881
LULU,0.023137090152495772,340953109.4271126
MCD,0.013201064138821467,194533704.80956593
META,0.01770646394953717,260926240.10900345
MNST,0.0111897682118707,164894817.82109222
MRK,0.022312957619543914,328808516.1425647
MSFT,0.01379289468039177,203255046.2605591
MU,0.04811531096130025,709037514.0167813
NFLX,0.025902131136997766,381699344.807004
PEP,0.006400145919881905,94313919.24345323
PG,0.014238246236648067,209817842.05263966
PYPL,0.019695782166069608,290241258.85579985
SBUX,0.020578978273854534,303256225.61257297
SHY,0.0006530995331786573,9624214.416549658
SO,0.01002503319265828,147731033.44536835
T,0.010499859914612036,154728181.58379802
TLT,0.005515839060867822,81282584.21898164
TRV,0.0077139616600371275,113674589.01081751
TSLA,0.02760531190741118,406797780.9440252
TTD,0.022553181864383105,332348511.99761254
UBER,0.026369142907361656,388581330.14721555
UNH,0.01970923143232865,290439450.1201426
VRTX,0.023234996569712375,342395879.3330452
VZ,0.011827885228577152,174298246.67020136
WMT,0.022073675547766642,325282404.35128486
